_id,_name,_category,_detailText,_priority,_spriteName,_masterReleaseLabelId
4293000001,Title: Otonokizaka High Student,4293,Proof of being a student at Otonokizaka High School.,1,title_s_0000_00000_0001,1
4293000002,Title: SIF Beginner,4293,Proof you started playing SIF!,2,title_s_0000_00000_0002,1
4293000003,Title: I Love Live Shows!,4293,A title given to players who love live shows and have participated in many of them.,3,title_s_0000_00000_0003,1
4293000004,Title: FULL COMBO!,4293,A title given to skillful players who have gotten many FULL COMBOs.,4,title_s_0000_00000_0004,1
4293000005,Title: Honoka Fan,4293,A title for Honoka lovers!,5,title_s_0000_00000_0005,1
4293000006,Title: Eli Fan,4293,A title for Eli lovers!,6,title_s_0000_00000_0006,1
4293000007,Title: Kotori Fan,4293,A title for Kotori lovers!,7,title_s_0000_00000_0007,1
4293000008,Title: Umi Fan,4293,A title for Umi lovers!,8,title_s_0000_00000_0008,1
4293000009,Title: Rin Fan,4293,A title for Rin lovers!,9,title_s_0000_00000_0009,1
4293000010,Title: Maki Fan,4293,A title for Maki lovers!,10,title_s_0000_00000_0010,1
4293000011,Title: Nozomi Fan,4293,A title for Nozomi lovers!,11,title_s_0000_00000_0011,1
4293000012,Title: Hanayo Fan,4293,A title for Hanayo lovers!,12,title_s_0000_00000_0012,1
4293000013,Title: Nico Fan,4293,A title for Nico lovers!,13,title_s_0000_00000_0013,1
4293000014,Title: Printemps,4293,A title for Printemps supporters.,14,title_s_0000_00000_0014,1
4293000015,Title: lily white,4293,A title for lily white supporters.,15,title_s_0000_00000_0015,1
4293000016,Title: BiBi,4293,A title for BiBi supporters.,16,title_s_0000_00000_0016,1
4293000017,Title: Bustling Idol Study Club,4293,A bustling idol study club with plenty of members.,17,title_s_0000_00000_0017,1
4293000018,Title: Lively Idol Study Club,4293,A fabulous idol study club full of Idolized members.,18,title_s_0000_00000_0018,1
4293000019,Title: Friendly Idol Study Club,4293,A friendly idol study club full of members with deep bonds.,19,title_s_0000_00000_0019,1
4293000020,Title: Hardworking Idol Study Club,4293,A hard-working idol study club full of high-level members.,20,title_s_0000_00000_0020,1
4293000021,Title: I Made a Friend!,4293,Proof of having made plenty of friends!,21,title_s_0000_00000_0021,1
4293000022,Title: Scout Master,4293,A title given to Scouting specialists who have Scouted many members.,22,title_s_0000_00000_0022,1
4293000023,Title: Uranohoshi High Student,4293,Proof of being a student at Uranohoshi Girls' High School.,23,title_s_0000_00000_0023,1
4293000901,SIF National Tournament 2016 Online Qualifier,4293,Proof of participation in the SIF National Tournament 2016 online qualifier.,901,title_s_0000_00000_0901,1
4293000902,SIF National Tournament 2017 Online Qualifier,4293,Proof of participation in the SIF National Tournament 2017 online qualifier.,902,title_s_0000_00000_0902,1
4293000024,Title: Otonokizaka High First Year Student,4293,A title for supporters of the first years of Otonokizaka High.,24,title_s_0000_00000_0024,1
4293000025,Title: Otonokizaka High Second Year Student,4293,A title for supporters of the second years of Otonokizaka High.,25,title_s_0000_00000_0025,1
4293000026,Title: Otonokizaka High Third Year Student,4293,A title for supporters of the third years of Otonokizaka High.,26,title_s_0000_00000_0026,1
4293000027,Title: Uranohoshi High First Year Student,4293,A title for supporters of the first years of Uranohoshi High.,27,title_s_0000_00000_0027,1
4293000028,Title: Uranohoshi High Second Year Student,4293,A title for supporters of the second years of Uranohoshi High.,28,title_s_0000_00000_0028,1
4293000029,Title: Uranohoshi High Third Year Student,4293,A title for supporters of the third years of Uranohoshi High.,29,title_s_0000_00000_0029,1
4293000030,Title: Chika Fan,4293,A title for Chika lovers!,30,title_s_0000_00000_0030,1
4293000031,Title: Riko Fan,4293,A title for Riko lovers!,31,title_s_0000_00000_0031,1
4293000032,Title: Kanan Fan,4293,A title for Kanan lovers!,32,title_s_0000_00000_0032,1
4293000033,Title: Dia Fan,4293,A title for Dia lovers!,33,title_s_0000_00000_0033,1
4293000034,Title: You Fan,4293,A title for You lovers!,34,title_s_0000_00000_0034,1
4293000035,Title: Yoshiko Fan,4293,A title for Yoshiko lovers!,35,title_s_0000_00000_0035,1
4293000036,Title: Hanamaru Fan,4293,A title for Hanamaru lovers!,36,title_s_0000_00000_0036,1
4293000037,Title: Mari Fan,4293,A title for Mari lovers!,37,title_s_0000_00000_0037,1
4293000038,Title: Ruby Fan,4293,A title for Ruby lovers!,38,title_s_0000_00000_0038,1
4293000039,Title: CYaRon!,4293,A title for CYaRon supporters.,39,title_s_0000_00000_0039,1
4293000040,Title: AZALEA,4293,A title for AZALEA supporters.,40,title_s_0000_00000_0040,1
4293000041,Title: Guilty Kiss,4293,A title for Guilty Kiss supporters.,41,title_s_0000_00000_0041,1
4293000042,Title: Step! ZERO to ONE,4293,A title to commemorate Aqours' first live show.,42,title_s_0000_00000_0042,1
4293000043,SIF National Tournament 2017 Finalist,4293,Proof of being a finalist at the SIF National Tournament 2017.,43,title_s_0000_00000_0043,1
4293000044,SIF National Tournament 2017 Third Place,4293,Proof of winning 3rd place at the SIF National Tournament 2017.,44,title_s_0000_00000_0044,1
4293000045,SIF National Tournament 2017 Second Place,4293,Proof of winning 2nd place at the SIF National Tournament 2017.,45,title_s_0000_00000_0045,1
4293000046,SIF National Tournament 2017 Champion,4293,Proof of winning the SIF National Tournament 2017.,46,title_s_0000_00000_0046,1
4293000047,Title: SIF 4th Anniversary: μ's,4293,A title to commemorate SIF's 4th anniversary.,47,title_s_0000_00000_0047,1
4293000048,Title: SIF 4th Anniversary: Aqours,4293,A title to commemorate SIF's 4th anniversary.,48,title_s_0000_00000_0048,1
