_id,_name,_detailText,_trigger,_triggerValue,_probability,_effectiveMilliSecs,_subTarget,_targetGroupId,_targetSchoolGrade,_effectType,_effectiveValues,_nameEn,_detailTextEn,_masterReleaseLabelId
10010001,発起人,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,25/24/24,39000/39000/39000,2000/2000/2000,0,0,0,4,124/126/128,Originator,"For every {0} PERFECTs, there's a {1}% chance<br>your Rhythm Icon score increases by {3} for {2} sec.",1
10010002,猪突猛進！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,21/20/20,28000/28000/28000,4000/4000/4000,0,0,0,5,1/1/1,Full Speed Ahead!,"For every {0} Rhythm Icons, there's a {1}% chance<br>the PERFECT window widens by {3} levels for {2} sec.",1
10010003,ポジティブ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,23/22/22,31000/31000/31000,2000/2000/2000,0,100,0,4,111/113/115,Positive,"For every {0} Rhythm Icons, there's a {1}% chance<br>μ's Rhythm Icon scores increase by {3} for {2} sec.",1
10010004,元気が取り柄,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,24/23/22,29000/29000/29000,,0,0,0,6,1/1/1,Pep is Paramount,"For every {0} Rhythm Icons, there's a {1}% chance<br>to restore {3} Stamina.",1
10010005,練習準備！,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,18/17/17,29000/29000/29000,2000/2000/2000,0,0,0,4,109/111/113,Prep for Practice!,"For every {0} combos, there's a {1}% chance<br>Rhythm Icon scores increase by {3} for {2} sec.",1
10010006,一緒に歌おう,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,20/19/19,28000/28000/28000,2000/2000/2000,0,0,0,4,106/108/110,Let's Sing Together,"For every {0} Rhythm Icons, there's a {1}% chance<br>your Rhythm Icon score increases by {3} for {2} sec.",1
10010007,おやすみ笑顔,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,20/19/19,31000/31000/31000,2000/2000/2000,0,0,0,4,113/115/117,Good Night Smiles,"For every {0} combos, there's a {1}% chance<br>Rhythm Icon scores increase by {3} for {2} sec.",1
10010008,おでかけ笑顔,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECT時のスコアが{3}増える,1,24/23/23,32000/32000/32000,2000/2000/2000,1,0,0,4,112/114/116,Out and About Smiles,"For every {0} Rhythm Icons, there's a {1}% chance<br>your PERFECT score increases by {3} for {2} sec.",1
10010009,スマッシュするよ,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,18/17/17,29000/29000/29000,2000/2000/2000,0,0,0,4,109/111/113,Get Ready to SMASH!,"For every {0} combos, there's a {1}% chance<br>Rhythm Icon scores increase by {3} for {2} sec.",1
10010010,笑顔全開！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,24/23/23/23/22,32000/32000/32000/32000/32000,2500/2500/2500/3000/3000,0,0,0,4,112/114/116/118/120,Ear-to-Ear Smile!,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10010011,炎の心,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,20/19/19/19/18,31000/31000/31000/31000/31000,2500/2500/2500/3000/3000,0,0,0,4,113/115/117/119/121,Hearts Aflame,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10010012,たべちゃうぞ？,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,20/19/19/19/18,27000/27000/27000/27000/27000,4500/4500/4500/5000/5000,0,0,0,5,1/1/1/1/2,I'm Gonna Eat You Up!,"For every {0} Rhythm Icons, there's a {1}% chance to<br>widen the PERFECT window by {3} levels for {2} sec.",1
10010013,満開の桜,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,25/24/24/24/23/23/23/22/22,33000/33000/33000/33000/33000/33000/33000/33000/33000,3000/3000/3000/3500/3500/3500/4000/4000/4000,0,0,0,4,114/116/118/120/122/124/126/128/130,Blossoms in Full Bloom,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10010014,ライスフルーツ！？,{0}秒ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,4,8000/7800/7800/7600/7600/7400/7400/7200/7200,48000/48200/48400/48600/48800/49000/49200/49400/49600,5000/5000/5000/5500/5500/5500/6000/6000/6000,0,0,0,5,1/1/1/1/2/2/2/2/2,Rice Fruit?!,"Every {0} sec, there's a {1}% chance to<br>widen the PERFECT window by {3} levels for {2} sec.",1
10020001,クォーター,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,20/19/18,25000/25000/25000,,0,0,0,6,1/1/1,Quarter,"For every {0} Rhythm Icons, there's a {1}% chance to<br>restore {3} Stamina.",1
10020002,頭脳明晰,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,23/22/22,31000/31000/31000,2000/2000/2000,0,100,0,4,111/113/115,Clearheaded,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise the score of μ’s Rhythm Icons by {3} for {2} sec.",1
