_id,_type,_masterGroupId,_seasonNumber,_chapterNumber,_name,_summary,_imageName,_masterReleaseLabelId
119999,2,100,1,1,µ'sとの出会い,新聞部のあなたは、取材予定だった友人の代理で急遽「µ’ｓ」というスクールアイドルの取材をお願いされる。ライブ会場に行くと、彼女たちが出迎えてくれて……。,chap_119999,1
129999,2,200,1,1,Aqoursとの出会い,新聞部のあなたは、取材予定だった友人の代理で急遽「Aqours」というスクールアイドルの取材をお願いされる。ライブ会場に行くと、彼女たちが出迎えてくれて……。,chap_129999,1
139999,2,300,1,1,ニジガクとの出会い,新聞部のあなたは、取材予定だった友人の代理で急遽「虹ヶ咲学園スクールアイドル同好会」というスクールアイドルの取材をお願いされる。ライブ会場に行くと、彼女たちが出迎えてくれて……。,chap_139999,1
149999,2,400,1,1,Liella!との出会い,新聞部のあなたは、取材予定だった友人の代理で急遽「Liella!」というスクールアイドルの取材をお願いされる。ライブ会場に行くと、彼女たちが出迎えてくれて……。,chap_149999,1
140001,3,400,1,5,スランプ脱出大作戦！,「可可はもうダメデス……」そんな可可の発言から、Liella!一行は新たなインスピレーションを得ようと原宿に繰り出すことに。,chap_140001,223041904
110001,3,100,1,5,私たちの街、撮ってみた,ある日、μ'sはリポート動画をつくることに。お客さんたちの、彼女たちや彼女たちが住む街について知りたいというニーズに応えたものだった。一行はビデオを手にあちこちを回り…！？,chap_110001,223043005
120001,3,200,1,5,沼津よいとこ　一度はおいで,ある日、Aqoursに商店街をアピールするライブをやってほしいという依頼が。喜んで引き受ける一行は商店街に向かい色々なお店を見てまわるが、なかなかまとまらなくて……！？,chap_120001,223051506
130001,3,300,1,5,描く　つながる　ネットワーク,かすみによると、次のライブはなんと大自然の中！　驚く同好会一行だが、それなら自分は……と次々アイデアが。一方、普段デジタルデバイスを駆使する璃奈の顔は暗くて……！？,chap_130001,223053106
140002,3,400,1,5,カモメのトラブル宅配便,この暑さで屋外練習は厳しい。そこでLiella!一行は海合宿をすることに！　せっかくの海だから少しは遊ぼうと白熱したビーチバレーが行われるのだが、その後カモメがまさかの……！？,chap_140002,223063006
110002,3,100,1,5,勝利のフラッグは誰の手に,夏休みも部活に勉強にと忙しいスケジュールを入れる海未。それでは十分に夏休みを楽しめないのではと思った穂乃果とことりは、他のメンバーと共に一計を案じ……！？,chap_110002,223073106
