_id,_name,_nameRuby,_detailText,_category,_schoolGrade,_charaCategory,_masterGroupId,_spriteName,_displayOrder,_height,_bloodType,_birsday,_voiceActor,_imageColor,_imageColorDark,_nameRichtextGacha,_nameEn,_nameRubyEn,_detailTextEn,_bloodTypeEn,_birsdayEn,_voiceActorEn,_nameRichtextGachaEn,_masterReleaseLabelId
1001,高坂穂乃果,こうさかほのか,μ'sの発起人。いつも笑顔でとにかく元気が取り柄。多少の困難があっても持ち前の超ポジティブシンキングで次々と突破していく。,1,2,1,101,1001,1001,157cm,O型,8月3日,新田恵海,FF9210,FF9210,<size=100>高<size=80>坂 <size=100>穂<size=80>乃果,Honoka Kosaka,Honoka Kosaka,The founder of μ's. Honoka is always smiling and full of energy. She powers through any difficulty with her trademark super-positive thinking.,O,Aug 3,Emi Nitta,<size=100>H<size=80>onoka<size=100>K<size=80>osaka,1
1002,絢瀬絵里,あやせえり,ロシア人のクォーター。頭脳明晰、運動神経抜群、何をやらせてもそつなくこなす。学校でも人気抜群で、責任感が強く、生徒会長を務めている。,1,3,1,103,1002,1002,162cm,B型,10月21日,南條愛乃,47C3FB,47C3FB,<size=100>絢<size=80>瀬 <size=100>絵<size=80>里,Eli Ayase,Eli Ayase,"Eli is one-quarter Russian. She's sharp, athletic, and handles whatever she's given with ease. Popular and responsible, she serves as student council president.",B,Oct 21,Yoshino Nanjo,<size=100>E<size=80>li<size=100>A<size=80>yase,1
1003,南 ことり,みなみことり,おっとりと柔らかい性格で、勉強もそつなくこなす優等生。おっとりとはしているが芯は強く、物おじしない。穂乃果の一番の友人。,1,2,1,101,1003,1003,159cm,O型,9月12日,内田 彩,BAB3B3,BAB3B3,<size=100>南<size=80> <size=100>こ<size=80>とり,Kotori Minami,Kotori Minami,"Kotori is a gentle, soft-spoken honor student who excels at everything she does. Calm yet strong-willed, she's never shy about speaking her mind. She's Honoka's closest friend.",O,Sep 12,Aya Uchida,<size=100>K<size=80>otori<size=100>M<size=80>inami,1
1004,園田海未,そのだうみ,凛とした雰囲気を漂わせる大和なでしこ。子供の頃から弓道で鍛えられ、礼儀作法も完璧な女の子。悪事や怠けるといったことが大嫌い。穂乃果、ことりとは幼馴染。,1,2,1,102,1004,1004,159cm,A型,3月15日,三森すずこ,226BF1,226BF1,<size=100>園<size=80>田 <size=100>海<size=80>未,Umi Sonoda,Umi Sonoda,"An elegant young woman who embodies traditional Japanese beauty. Trained in kyudo (archery) since childhood, she has perfect manners and despises wrongdoing and laziness. Umi, Honoka, and Kotori are childhood friends.",A,Mar 15,Suzuko Mimori,<size=100>U<size=80>mi<size=100>S<size=80>onoda,1
1005,星空 凛,ほしぞらりん,体育会系でいつも明るく、くよくよ悩むより身体を動かすタイプ。体育会系だけあって面倒見はよく、いつも幼馴染の花陽の面倒を見ている。,1,1,1,102,1005,1005,155cm,A型,11月1日,飯田里穂,FCD500,CEAE00,<size=100>星<size=80>空 <size=100>凛<size=80>,Rin Hoshizora,Rin Hoshizora,"Rin is a bright, athletic girl who'd rather move than mope. True to her sporty nature, she's caring and always looks after her childhood friend Hanayo.",A,Nov 1,Riho Iida,<size=100>R<size=80>in<size=100>H<size=80>oshizora,1
1006,西木野真姫,にしきのまき,高飛車でプライドが高く、本心を見せるのが苦手。持ち前の度胸で上級生にも強気で渡り合う。実はさみしがりな一面も。,1,1,1,103,1006,1006,161cm,AB型,4月19日,Pile,F14747,F14747,<size=100>西<size=80>木野 <size=100>真<size=80>姫,Maki Nishikino,Maki Nishikino,"Maki is proud, assertive, and bad at showing her true feelings. Her natural nerve lets her stand up to her seniors—but underneath it all, she's surprisingly lonely.",AB,Apr 19,Pile,<size=100>M<size=80>aki<size=100>N<size=80>ishikino,1
1007,東條 希,とうじょうのぞみ,マイペースな性格で、関西弁まじりの独特の口調で話す。おおらかさがあり全メンバー中、実は精神年齢は一番上と思わせる所も。,1,3,1,102,1007,1007,159cm,O型,6月9日,楠田亜衣奈,C355E8,C355E8,<size=100>東<size=80>條 <size=100>希<size=80>,Nozomi Tojo,Nozomi Tojo,"A free spirit with a unique speech style flecked with Kansai dialect. Nozomi is easygoing and, despite her age, often comes across as the most mature member of μ's.",O,Jun 9,Aina Kusuda,<size=100>N<size=80>ozomi<size=100>T<size=80>ojo,1
1008,小泉花陽,こいずみはなよ,クラスでもあまり目立たない、おとなしい女の子。自信がなく、何をやろうとしても諦めてしまいがち。白いご飯が大好物。,1,1,1,101,1008,1008,156cm,B型,1月17日,久保ユリカ,44CF72,44CF72,<size=100>小<size=80>泉 <size=100>花<size=80>陽,Hanayo Koizumi,Hanayo Koizumi,Hanayo is a shy girl who doesn't stand out much in class. She lacks confidence and tends to give up easily. Her favorite food is plain white rice.,B,Jan 17,Yurika Kubo,<size=100>H<size=80>anayo<size=100>K<size=80>oizumi,1
1009,矢澤にこ,やざわにこ,アイドルを目指して日夜励んでいる、正真正銘のアイドルオタク。「にっこにっこにー」が合言葉。,1,3,1,103,1009,1009,154cm,A型,7月22日,徳井青空,FF548F,FF548F,<size=100>矢<size=80>澤 <size=100>に<size=80>こ,Nico Yazawa,Nico Yazawa,"Nico is a true-blue idol otaku striving day and night to become an idol herself. Her catchphrase is ""Nico-Nico-Nii!""",A,Jul 22,Sora Tokui,<size=100>N<size=80>ico<size=100>Y<size=80>azawa,1
2001,高海千歌,たかみちか,Aqoursの発起人。人懐っこく負けず嫌い。持ち前の明るさと強引さで周囲を次々に巻き込んでいく。,2,2,1,201,2001,2001,157cm,B型,8月1日,伊波杏樹,FF700F,FF700F,<size=100>高<size=80>海 <size=100>千<size=80>歌,Chika Takami,Chika Takami,"The founder of Aqours. Chika is friendly and fiercely competitive, and her trademark cheer and pushiness keep sweeping everyone around her into the fun.",B,Aug 1,Anju Inami,<size=100>C<size=80>hika<size=100>T<size=80>akami,1
