_id,_type,_masterGroupId,_seasonNumber,_chapterNumber,_name,_summary,_imageName,_masterReleaseLabelId
119999,2,100,1,1,Meet up with µ's,"You, a member of the newspaper club, were asked to interview the school idol group ""µ's"" as a last-minute substitute for a friend. When you arrived at the live show venue, the girls greeted you warmly...",chap_119999,1
129999,2,200,1,1,Meet up with Aqours,"You, a member of the newspaper club, were asked to interview the school idol group ""Aqours"" as a last-substitute for your friend. When you arrived at the live show venue, the girls greeted you warmly…",chap_129999,1
139999,2,300,1,1,Meet up with Nijigasaki,"You, a member of the newspaper club, were asked to interview the school idol group ""Nijigasaki High School Idol Club"" as a last-minute substitute for your friend. When you arrived at the live show venue, the girls greeted you warmly...",chap_139999,1
149999,2,400,1,1,Meet up with Liella!,"You, a member of the newspaper club, were asked to interview the school idol group ""Liella!"" as a last-substitute for your friend. When you arrived at the live show venue, the girls greeted you warmly…",chap_149999,1
120003,3,200,1,5,Happy New Year from Awashima!,Chika counts down the remaining days as she can't wait for the New Year. Aqours doesn't have any specific plans for the holidays when Mari makes her suggestion: A countdown and new year's party at Hotel Ohara!,chap_120003,223123105
130003,3,300,1,5,Who Will Get the Chocolate?!,"When Ranju learns that Valentine's Day in Japan is the day to give a chocolate to a ""special person,"" she throws a stone at Nijigasaki High School Idol Club members, who are all planning to make and bring their own chocolates. Ranju asks, ""Why don't you give chocolates to your 'special someone'?　What are you going to do yu?""",chap_130003,224013105
140003,3,400,1,5,Pit-a-pat School Information Session,"Ren pulls everyone together for an important discussion. With thumping hearts, they listen as she informs them that the school information session is coming up. Nominated to take charge, can the four second-year students pull it off?!",chap_140003,223103106
110003,3,100,1,5,Christmas Parties Are The Best!,"Gazing at Akihabara adorned in a Christmas mood, Honoka suggests having a Christmas party with everyone in μ's. While the party makes everyone look back on their year, Eli says they're not quite done?!",chap_110003,223113006
210001,1,100,1,3,Daily Life of μ's,"Lighthearted stories surrounding the ordinary lives of those in the school idol group, µ's.",,1
220001,1,200,1,3,Daily Life of Aqours,"Lighthearted stories surrounding the ordinary lives of those in the school idol group, Aqours.",,1
230001,1,300,1,3,Daily Life of Nijigasaki,Lighthearted stories surrounding the ordinary lives of those in Nijigasaki High School Idol Club.,chap_230001,1
240001,1,400,1,3,Daily Life of Liella!,"Lighthearted stories surrounding the ordinary lives of those in the school idol group, Liella!",,1
230002,1,300,1,5,Love Song by Me (Ayumu Edition),"Ayumu receives an invitation to the Love Song Carnival. She's working hard on the lyrics, but she can't seem to find ""it""...",chap_230002,223090601
230003,1,300,1,5,Love Song by Me (Kasumi Edition),Kasumi receives an invitation to the Love Song Carnival. She can hardly contain her excitement as she aspires to thoroughly depict her ideal love story.,chap_230002,223090601
230004,1,300,1,5,Love Song by Me (Shizuku Edition),"Shizuku receives an invitation to the Love Song Carnival. Despite watching a movie with Ayumu to gather ideas, their talk afterwards may have been the inspiration she needed all along...",chap_230002,223090601
230005,1,300,1,5,Love Song by Me (Karin Edition),"Karin receives an invitation to the Love Song Carnival. The other members expect a mature, cool, dramatic tone from Karin's love song, but do they have the wrong idea?",chap_230002,223090601
230006,1,300,1,5,Love Song by Me (Ai Edition),"Ai receives an invitation to the Love Song Carnival. Ai prides herself on spreading love to the entire world, but she wants to change things up this time! It is possible to direct that abundance of love to one person only?",chap_230002,223090601
230007,1,300,1,5,Love Song by Me (Kanata Edition),"Kanata receives an invitation to the Love Song Carnival, but she is having difficulty understanding what ""love"" even is. Please, someone teach this girl a few things about love!",chap_230002,223090601
230008,1,300,1,5,Love Song by Me (Setsuna Edition),"Setsuna receives an invitation to the Love Song Carnival. Even after studying love from novels and anime, she struggles to apply that to her own feelings. Can Shizuku give her some helpful advice?",chap_230002,223090601
230009,1,300,1,5,Love Song by Me (Emma Edition),"Emma receives an invitation to the Love Song Carnival. Stressing over a lack of inspiration for her love song, she wanders into the club room. There, she finds Lanzhu more than willing to help!",chap_230002,223090601
230010,1,300,1,5,Love Song by Me (Rina Edition),"Rina receives an invitation to the Love Song Carnival. While the other members waver on what to write about, Rina has already decided?!",chap_230002,223090601
230011,1,300,1,5,Love Song by Me (Shioriko Edition),"Shioriko receives an invitation to the Love Song Carnival and asks Kasumi what sort of love she might be suited for, to which Kasumi provides an unexpected answer. ""An overly attached girlfriend?! No way!!!""",chap_230002,223090601
230012,1,300,1,5,Love Song by Me (Mia Edition),"Mia receives an invitation to the Love Song Carnival. With all her songwriting experience, making a love song should only take a second! Or so she thought...",chap_230002,223090601
230013,1,300,1,5,Love Song by Me (Lanzhu Edition),"Lanzhu receives an invitation to the Love Song Carnival. When a puzzled Mia asks her whether she comprehends love, she confidently offers Mia some tips.",chap_230002,223090601
