_id,_masterChatId,_roomId,_chapterId,_scriptKey,_title,_firstLineValue,_noticeValue,_appearStampIdList,_masterReleaseLabelId
100100101,1001,1,100100101,1001_1_1,Honoka (DM),Honoka: Hey hey!,Honoka: Hey hey!,"stamp_00_00000_0005,stamp_00_00000_0007,stamp_00_00000_0095",1
100100102,1001,1,100100102,1001_1_2,Honoka (DM),Honoka sent a sticker,Honoka sent a sticker,"stamp_00_00000_0001,stamp_00_00000_0026,stamp_00_00000_0049,stamp_00_00000_0050,stamp_00_00000_0059,stamp_00_00000_0083,stamp_00_00000_0085",1
100100103,1001,1,100100103,1001_1_3,Honoka (DM),Honoka is online,Honoka is online,"stamp_00_00000_0017,stamp_00_00000_0039,stamp_00_00000_0053,stamp_00_00000_0060",1
100100104,1001,1,100100104,1001_1_4,Honoka (DM),Honoka sent a sticker,Honoka sent a sticker,"stamp_00_00000_0001,stamp_00_00000_0009,stamp_00_00000_0011,stamp_00_00000_0019,stamp_00_00000_0021,stamp_00_00000_0029,stamp_00_00000_0036,stamp_00_00000_0038,stamp_00_00000_0078",1
100100105,1001,1,100100105,1001_1_5,Honoka (DM),Honoka: You watch that A-RISE video yet?,Honoka: You watch that A-RISE video yet?,"stamp_00_00000_0006,stamp_00_00000_0009,stamp_00_00000_0019,stamp_00_00000_0035,stamp_00_00000_0048,stamp_00_00000_0050,stamp_00_00000_0061,stamp_00_00000_0085,stamp_01_01001_0003",1
100100106,1001,1,100100106,1001_1_6,Honoka (DM),Honoka: Hey! I've got BIG news!,Honoka: Hey! I've got BIG news!,"stamp_00_00000_0004,stamp_00_00000_0036,stamp_00_00000_0048,stamp_00_00000_0054,stamp_00_00000_0061,stamp_00_00000_0091",1
100100107,1001,1,100100107,1001_1_7,Honoka (DM),Honoka is online,Honoka is online,"stamp_00_00000_0009,stamp_00_00000_0052,stamp_00_00000_0079",1
100100108,1001,1,100100108,1001_1_8,Honoka (DM),Honoka: I'm back!,Honoka: I'm back!,"stamp_00_00000_0036,stamp_00_00000_0038,stamp_00_00000_0046,stamp_00_00000_0049,stamp_00_00000_0078",1
100100109,1001,1,100100109,1001_1_9,Honoka (DM),Honoka is online,Honoka is online,"stamp_00_00000_0016,stamp_00_00000_0021,stamp_00_00000_0037,stamp_00_00000_0039,stamp_00_00000_0077",1
100100110,1001,1,100100110,1001_1_10,Honoka (DM),Honoka: Plans are all set!,Honoka: Plans are all set!,"stamp_00_00000_0019,stamp_00_00000_0020,stamp_00_00000_0021,stamp_00_00000_0037,stamp_00_00000_0050,stamp_00_00000_0060",1
100100111,1001,1,100100111,1001_1_11,Honoka (DM),Honoka sent a sticker,Honoka sent a sticker,"stamp_00_00000_0039,stamp_00_00000_0041,stamp_00_00000_0059,stamp_00_00000_0081,stamp_00_00000_0091",1
100100112,1001,1,100100112,1001_1_12,Honoka (DM),Honoka is online,Honoka is online,"stamp_00_00000_0009,stamp_00_00000_0054,stamp_00_00000_0059,stamp_00_00000_0085",1
100100113,1001,1,100100113,1001_1_13,Honoka (DM),Honoka is online,Honoka is online,"stamp_00_00000_0004,stamp_00_00000_0040,stamp_00_00000_0048,stamp_00_00000_0049,stamp_00_00000_0059,stamp_00_00000_0078,stamp_00_00000_0085,stamp_00_00000_0089,stamp_00_00000_0091,stamp_00_00000_0095",1
100100114,1001,1,100100114,1001_1_14,Honoka (DM),Honoka: You at the live show venue yet?,Honoka: You at the live show venue yet?,"stamp_00_00000_0035,stamp_00_00000_0077,stamp_00_00000_0084,stamp_00_00000_0090",1
100100115,1001,1,100100115,1001_1_15,Honoka (DM),Honoka: Thanks for coming to the show today!,Honoka: Thanks for coming to the show today!,"stamp_00_00000_0007,stamp_00_00000_0009,stamp_00_00000_0029,stamp_00_00000_0059,stamp_00_00000_0066,stamp_00_00000_0077",1
